game_id,team_id,HoA,won,settled_in,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,startRinkSide
2003020576,8,home,True,REG,5.0,35.0,10.0,33.0,6.0,2.0,,18.0,4.0,15.0,left
2003020577,2,away,False,OT,3.0,30.0,9.0,17.0,2.0,0.0,,7.0,5.0,18.0,right
2003020601,8,home,True,REG,3.0,37.0,15.0,13.0,2.0,0.0,,11.0,5.0,14.0,left
2003020640,24,home,False,OT,2.0,43.0,11.0,10.0,7.0,0.0,,11.0,11.0,9.0,right
2003020650,9,away,True,REG,4.0,23.0,13.0,4.0,4.0,1.0,,25.0,6.0,14.0,right
2003020654,13,away,False,REG,2.0,16.0,11.0,49.0,3.0,0.0,,12.0,5.0,16.0,right
2003020663,14,home,True,REG,5.0,26.0,14.0,19.0,5.0,2.0,,4.0,11.0,12.0,right
2003020666,27,away,False,REG,3.0,24.0,21.0,8.0,2.0,2.0,,14.0,9.0,18.0,right
2003020696,17,away,False,REG,1.0,35.0,16.0,8.0,1.0,0.0,,11.0,3.0,5.0,right
2003020700,9,away,True,REG,3.0,30.0,15.0,11.0,4.0,1.0,,3.0,9.0,11.0,left
2003020703,7,away,False,REG,1.0,25.0,10.0,18.0,3.0,0.0,,3.0,6.0,6.0,
2003020734,5,home,False,REG,3.0,28.0,19.0,15.0,5.0,1.0,,4.0,6.0,12.0,right
2003020746,17,away,False,OT,2.0,26.0,8.0,4.0,4.0,0.0,,44.0,15.0,15.0,left
2003020756,3,home,False,REG,1.0,33.0,17.0,9.0,3.0,0.0,,12.0,7.0,10.0,left
2003020807,28,home,True,REG,3.0,28.0,18.0,8.0,5.0,0.0,,5.0,1.0,6.0,right
2003020808,3,home,False,REG,3.0,28.0,16.0,12.0,2.0,0.0,,15.0,4.0,14.0,left
2003020809,4,home,True,REG,5.0,41.0,9.0,18.0,7.0,2.0,,7.0,7.0,7.0,left
2003020844,9,home,True,OT,3.0,27.0,33.0,10.0,4.0,1.0,,9.0,5.0,16.0,right
2003020847,26,away,False,REG,3.0,24.0,15.0,24.0,6.0,1.0,,11.0,2.0,13.0,right
2003020872,12,home,True,REG,3.0,23.0,10.0,14.0,8.0,1.0,,7.0,6.0,12.0,left
2003020882,8,home,False,REG,1.0,30.0,21.0,10.0,4.0,0.0,,15.0,9.0,5.0,left
2003020886,17,home,True,REG,5.0,34.0,21.0,8.0,3.0,2.0,,23.0,14.0,10.0,left
2003020933,17,away,False,REG,2.0,30.0,26.0,11.0,2.0,2.0,,5.0,6.0,10.0,left
2003020949,23,home,True,OT,3.0,36.0,19.0,6.0,5.0,2.0,,11.0,1.0,6.0,left
2003020955,22,away,True,REG,7.0,27.0,12.0,14.0,5.0,1.0,,1.0,2.0,20.0,
2003020958,18,home,True,OT,2.0,43.0,10.0,11.0,10.0,1.0,,5.0,7.0,7.0,right
2003020974,28,home,True,REG,1.0,18.0,26.0,13.0,2.0,0.0,,3.0,2.0,8.0,right
2003020979,11,away,True,REG,4.0,16.0,16.0,12.0,6.0,2.0,,4.0,5.0,15.0,left
2003020993,24,home,True,REG,2.0,22.0,16.0,8.0,2.0,0.0,,9.0,18.0,6.0,right
2003021001,4,home,True,REG,5.0,30.0,9.0,213.0,4.0,1.0,,9.0,3.0,12.0,left
2003021008,8,away,True,REG,4.0,25.0,22.0,14.0,6.0,2.0,,3.0,1.0,13.0,
2003021014,29,home,False,REG,0.0,32.0,9.0,16.0,6.0,0.0,,4.0,6.0,7.0,right
2003021048,13,away,True,OT,3.0,32.0,17.0,10.0,5.0,0.0,,19.0,15.0,12.0,left
2003021061,25,away,False,REG,0.0,31.0,15.0,4.0,4.0,0.0,,6.0,7.0,8.0,left
2003021080,12,away,False,OT,0.0,31.0,13.0,16.0,10.0,0.0,,20.0,18.0,11.0,
2003021095,16,home,False,REG,2.0,23.0,9.0,14.0,3.0,2.0,,5.0,0.0,10.0,left
2003021107,8,away,False,OT,1.0,31.0,10.0,4.0,2.0,0.0,,10.0,10.0,23.0,right
2003021131,26,home,False,REG,1.0,26.0,26.0,4.0,3.0,1.0,,14.0,3.0,6.0,left
2003021136,3,home,False,REG,2.0,37.0,17.0,12.0,5.0,0.0,,7.0,5.0,6.0,left
2003021141,30,away,False,REG,0.0,20.0,3.0,23.0,8.0,0.0,,2.0,3.0,14.0,right
